id	name	formula	inchi	solubility	vendor	vendor_id	hmdb_id	chebi_id	lipidmaps_id	cas_id	pubchem_id	lot_num	location	purchase_date	Average Molecular weight (g/mol)	Exact mass	m/z_Neg mode	m/z_Pos Mode	Adducts Na	Adducts NH4	Class	Retention time	Date of Prep	Protocol ID	Comments	Sample weight for stock (mg) 
325	N-ACETYL-D-MANNOSAMINE	C8H15NO6		Methano/water	IROA	MSMLS_1H11					439281															
326	D-GLUCOSE-6-PHOSPHATE	C6H13O9P		Methano/water	IROA	MSMLS_1H12					5958															
316	THIOUREA	CH4N2S		Methano/water	IROA	MSMLS_1H2					2723790															
317	DIETHANOLAMINE	C4H11NO2		Methano/water	IROA	MSMLS_1H3					8113															
318	3-AMINOISOBUTANOATE	C4H9NO2		Methano/water	IROA	MSMLS_1H4					64956															
319	CYS-GLY	C5H10N2O3S		Methano/water	IROA	MSMLS_1H5					439498															
320	L-2-PHOSPHOGLYCERIC ACID	C6H12O5		Methano/water	IROA	MSMLS_1H6					439278															
321	GUANIDINOACETATE	C3H7N3O2		Methano/water	IROA	MSMLS_1H7					763															
322	CREATININE	C4H7N3O		Methano/water	IROA	MSMLS_1H8					588															
323	N-ACETYL-D-TRYPTOPHAN	C13H14N2O3		Methano/water	IROA	MSMLS_1H9					439917															
327	LL-2,6-DIAMINOHEPTANEDIOATE	C7H14N2O4		Methano/water	IROA	MSMLS_2A1					439283															
336	THEOPHYLLINE	C7H8N4O2		Methano/water	IROA	MSMLS_2A10					2153															
337	LEUCINE	C6H13NO2		Methano/water	IROA	MSMLS_2A11					857															
338	D-(+)-TREHALOSE	C12H26O13		Methano/water	IROA	MSMLS_2A12					7427															
328	ALPHA-AMINOADIPATE	C6H11NO4		Methano/water	IROA	MSMLS_2A2					92136															
329	DEOXYCYTIDINE	C9H13N3O4		Methano/water	IROA	MSMLS_2A3					13711															
330	NORADRENALINE	C8H11NO3		Methano/water	IROA	MSMLS_2A4					439260															
331	D-GLUCOSAMINE 6-PHOSPHATE	C6H14NO8P		Methano/water	IROA	MSMLS_2A5					440997															
332	(S,S)-TARTARIC ACID	C4H6O6		Methano/water	IROA	MSMLS_2A6					439655															
333	3-DEHYDROSHIKIMATE	C7H8O5		Methano/water	IROA	MSMLS_2A7					439774															
334	BIS(3-AMINOPROPYL)AMINE	C6H17N3		Methano/water	IROA	MSMLS_2A8					5942															
335	HOMOCYSTEINE	C4H9NO2S		Methano/water	IROA	MSMLS_2A9					778															
339	BETAINE	C5H11NO2		Methano/water	IROA	MSMLS_2B1					247															
348	MALEIMIDE	C4H3NO2		Methano/water	IROA	MSMLS_2B10					10935															
349	FORMATE	CH2O2		Methano/water	IROA	MSMLS_2B11					284															
350	D-(+)-GLUCOSAMINE	C6H13NO5		Methano/water	IROA	MSMLS_2B12					439213															
340	D-TRYPTOPHAN	C11H12N2O2		Methano/water	IROA	MSMLS_2B2					9060															
341	3-SULFINO-L-ALANINE	C3H7NO4S		Methano/water	IROA	MSMLS_2B3					1549098															
342	O-SUCCINYL-L-HOMOSERINE	C8H13NO6		Methano/water	IROA	MSMLS_2B4					439406															
343	ALLANTOIN	C4H6N4O3		Methano/water	IROA	MSMLS_2B5					204															
344	GLYCERALDEHYDE	C3H6O3		Methano/water	IROA	MSMLS_2B6					751															
345	D-GLUCURONOLACTONE	C6H8O6		Methano/water	IROA	MSMLS_2B7					92283															
